review_id,text_clean,text_raw,aspects,aspect_sentiments,star_rating_norm,is_app_platform,char_len,word_len,arabic_ratio,has_emoji
7238,لا يوجد الدفع بالبطاقه عند الاستلام,لا يوجد الدفع بالبطاقه عند الاستلام,"['app_experience', 'delivery']","{'app_experience': 'negative', 'delivery': 'negative'}",0.6,1,35,6,0.8571428571428571,0
1036,المكان نضيف وجميل وقعدته تحفه والخدمة فوق الممتاز والجو جميل مكان اكتر من رايع بصراحة,المكان نضيف وجميل وقعدته تحفه والخدمة فوق الممتاز والجو جميل مكان اكتر من رائع بصراحة ❤️❤️❤️❤️,"['cleanliness', 'ambiance', 'service']","{'cleanliness': 'positive', 'ambiance': 'positive', 'service': 'positive'}",1.0,0,94,16,0.7553191489361702,0
1975,تجربة سيية سالتهم الاكل هياخد وقت قد ايه قالولي نص ساعة فعد ساعة ونص الاكل يعني كويس ولكن كمية قليلة جدا,"تجربة سيئة سألتهم الاكل هياخد وقت قد ايه قالولي نص ساعة فعد ساعة ونص
الاكل يعني كويس ولكن كمية قليلة جدا","['service', 'delivery', 'food']","{'service': 'negative', 'delivery': 'negative', 'food': 'neutral'}",0.2,0,104,21,0.8076923076923077,0
3024,احلي مكان فزايد,احلي مكان فزايد,['general'],{'general': 'positive'},1.0,0,15,3,0.8666666666666667,0
5483,الفطير حلو جدا الاحجام تحفة بالنسبه للسعر فا يعتبر من احسن الاسعار البيتزا للاسف ما فيش اوبشن تختار عجينه سميكه ولا رفيعه كلها رفيعه حتس لو طلبتها سميكه هتجيلك رفيعه انما الحشو تمام و طعم حلو الكريب حلو بس نوع الكاتشب وحش اوي مسكر جدا يموع النفس و بيقلب لون فا محدش يطلب كريب بكاتشب خالص,"الفطير حلو جدا
الاحجام تحفة
بالنسبه للسعر فا يعتبر من احسن الاسعار

البيتزا للاسف ما فيش اوبشن تختار عجينه سميكه ولا رفيعه كلها رفيعه
حتس لو طلبتها سميكه هتجيلك رفيعه
انما الحشو تمام و طعم حلو
الكريب حلو بس نوع الكاتشب وحش اوي مسكر جدا يموع النفس و بيقلب لون فا محدش يطلب كريب بكاتشب خالص","['food', 'price']","{'food': 'positive', 'price': 'positive'}",0.8,0,288,56,0.8055555555555556,0
8003,لقد حملت تطبيق عن طريق مستر بيست واريد سيارة تيسلا,لقد حملت تطبيق عن طريق مستر بيست واريد سيارة تيسلا,['none'],{'none': 'neutral'},0.2,1,50,10,0.82,0
1407,من اجمل المطاعم التي اكلت فيها اكل عربي يمني. ويتميز المطعم بالاتساع وتعدد الاماكن الخاصةمما يعطيك الاحساس بالراحة انت وعايلتك او اصدقاوك .,"من أجمل المطاعم التي اكلت فيها أكل عربي يمني.
ويتميز المطعم بالإتساع وتعدد الأماكن الخاصةمما يعطيك الإحساس بالراحة انت وعائلتك أو أصدقاؤك .","['food', 'ambiance']","{'food': 'positive', 'ambiance': 'positive'}",1.0,0,139,23,0.8273381294964028,0
9273,جميلة,جميلة,['general'],{'general': 'positive'},1.0,1,5,1,1.0,0
692,"The place is great , clean , service excellent, the food is very delicious, excellent quality Chef Nawaf is doing his job perfectly المكان اكثر من رايع ، النضافة عشرة على عشرة، الخدمة ممتازة ، الاكل تحفة، جودة عالية، الشيف نواف لطيف جدا و احترافية ممتازة.","The place is great , clean , service excellent, the food is very delicious, excellent quality
Chef Nawaf is doing his job perfectly 👌🏼
المكان أكثر من رائع ، النضافة عشرة على عشرة، الخدمة ممتازة ، الأكل تحفة، جودة عالية، الشيف نواف لطيف جداً و احترافية ممتازة.","['ambiance', 'cleanliness', 'service', 'food']","{'ambiance': 'positive', 'cleanliness': 'positive', 'service': 'positive', 'food': 'positive'}",1.0,0,259,47,0.38996138996138996,1
2028,سى جدا جدا جدا والله والله والله مفيش مسوول موجود. مطعم فاشل فاشل,"سى جدا جدا جدا
والله والله والله
مفيش مسؤول موجود.
مطعم فاشل فاشل",['service'],{'service': 'negative'},0.2,0,65,13,0.8,0
