review_id,text_clean,text_raw,aspect,sentiment,star_rating_norm,is_app_platform
7238,لا يوجد الدفع بالبطاقه عند الاستلام,لا يوجد الدفع بالبطاقه عند الاستلام,app_experience,negative,0.6,1
7238,لا يوجد الدفع بالبطاقه عند الاستلام,لا يوجد الدفع بالبطاقه عند الاستلام,delivery,negative,0.6,1
1036,المكان نضيف وجميل وقعدته تحفه والخدمة فوق الممتاز والجو جميل مكان اكتر من رايع بصراحة,المكان نضيف وجميل وقعدته تحفه والخدمة فوق الممتاز والجو جميل مكان اكتر من رائع بصراحة ❤️❤️❤️❤️,cleanliness,positive,1.0,0
1036,المكان نضيف وجميل وقعدته تحفه والخدمة فوق الممتاز والجو جميل مكان اكتر من رايع بصراحة,المكان نضيف وجميل وقعدته تحفه والخدمة فوق الممتاز والجو جميل مكان اكتر من رائع بصراحة ❤️❤️❤️❤️,ambiance,positive,1.0,0
1036,المكان نضيف وجميل وقعدته تحفه والخدمة فوق الممتاز والجو جميل مكان اكتر من رايع بصراحة,المكان نضيف وجميل وقعدته تحفه والخدمة فوق الممتاز والجو جميل مكان اكتر من رائع بصراحة ❤️❤️❤️❤️,service,positive,1.0,0
1975,تجربة سيية سالتهم الاكل هياخد وقت قد ايه قالولي نص ساعة فعد ساعة ونص الاكل يعني كويس ولكن كمية قليلة جدا,"تجربة سيئة سألتهم الاكل هياخد وقت قد ايه قالولي نص ساعة فعد ساعة ونص
الاكل يعني كويس ولكن كمية قليلة جدا",service,negative,0.2,0
1975,تجربة سيية سالتهم الاكل هياخد وقت قد ايه قالولي نص ساعة فعد ساعة ونص الاكل يعني كويس ولكن كمية قليلة جدا,"تجربة سيئة سألتهم الاكل هياخد وقت قد ايه قالولي نص ساعة فعد ساعة ونص
الاكل يعني كويس ولكن كمية قليلة جدا",delivery,negative,0.2,0
1975,تجربة سيية سالتهم الاكل هياخد وقت قد ايه قالولي نص ساعة فعد ساعة ونص الاكل يعني كويس ولكن كمية قليلة جدا,"تجربة سيئة سألتهم الاكل هياخد وقت قد ايه قالولي نص ساعة فعد ساعة ونص
الاكل يعني كويس ولكن كمية قليلة جدا",food,neutral,0.2,0
3024,احلي مكان فزايد,احلي مكان فزايد,general,positive,1.0,0
5483,الفطير حلو جدا الاحجام تحفة بالنسبه للسعر فا يعتبر من احسن الاسعار البيتزا للاسف ما فيش اوبشن تختار عجينه سميكه ولا رفيعه كلها رفيعه حتس لو طلبتها سميكه هتجيلك رفيعه انما الحشو تمام و طعم حلو الكريب حلو بس نوع الكاتشب وحش اوي مسكر جدا يموع النفس و بيقلب لون فا محدش يطلب كريب بكاتشب خالص,"الفطير حلو جدا
الاحجام تحفة
بالنسبه للسعر فا يعتبر من احسن الاسعار

البيتزا للاسف ما فيش اوبشن تختار عجينه سميكه ولا رفيعه كلها رفيعه
حتس لو طلبتها سميكه هتجيلك رفيعه
انما الحشو تمام و طعم حلو
الكريب حلو بس نوع الكاتشب وحش اوي مسكر جدا يموع النفس و بيقلب لون فا محدش يطلب كريب بكاتشب خالص",food,positive,0.8,0
5483,الفطير حلو جدا الاحجام تحفة بالنسبه للسعر فا يعتبر من احسن الاسعار البيتزا للاسف ما فيش اوبشن تختار عجينه سميكه ولا رفيعه كلها رفيعه حتس لو طلبتها سميكه هتجيلك رفيعه انما الحشو تمام و طعم حلو الكريب حلو بس نوع الكاتشب وحش اوي مسكر جدا يموع النفس و بيقلب لون فا محدش يطلب كريب بكاتشب خالص,"الفطير حلو جدا
الاحجام تحفة
بالنسبه للسعر فا يعتبر من احسن الاسعار

البيتزا للاسف ما فيش اوبشن تختار عجينه سميكه ولا رفيعه كلها رفيعه
حتس لو طلبتها سميكه هتجيلك رفيعه
انما الحشو تمام و طعم حلو
الكريب حلو بس نوع الكاتشب وحش اوي مسكر جدا يموع النفس و بيقلب لون فا محدش يطلب كريب بكاتشب خالص",price,positive,0.8,0
8003,لقد حملت تطبيق عن طريق مستر بيست واريد سيارة تيسلا,لقد حملت تطبيق عن طريق مستر بيست واريد سيارة تيسلا,none,neutral,0.2,1
1407,من اجمل المطاعم التي اكلت فيها اكل عربي يمني. ويتميز المطعم بالاتساع وتعدد الاماكن الخاصةمما يعطيك الاحساس بالراحة انت وعايلتك او اصدقاوك .,"من أجمل المطاعم التي اكلت فيها أكل عربي يمني.
ويتميز المطعم بالإتساع وتعدد الأماكن الخاصةمما يعطيك الإحساس بالراحة انت وعائلتك أو أصدقاؤك .",food,positive,1.0,0
1407,من اجمل المطاعم التي اكلت فيها اكل عربي يمني. ويتميز المطعم بالاتساع وتعدد الاماكن الخاصةمما يعطيك الاحساس بالراحة انت وعايلتك او اصدقاوك .,"من أجمل المطاعم التي اكلت فيها أكل عربي يمني.
ويتميز المطعم بالإتساع وتعدد الأماكن الخاصةمما يعطيك الإحساس بالراحة انت وعائلتك أو أصدقاؤك .",ambiance,positive,1.0,0
9273,جميلة,جميلة,general,positive,1.0,1
692,"The place is great , clean , service excellent, the food is very delicious, excellent quality Chef Nawaf is doing his job perfectly المكان اكثر من رايع ، النضافة عشرة على عشرة، الخدمة ممتازة ، الاكل تحفة، جودة عالية، الشيف نواف لطيف جدا و احترافية ممتازة.","The place is great , clean , service excellent, the food is very delicious, excellent quality
Chef Nawaf is doing his job perfectly 👌🏼
المكان أكثر من رائع ، النضافة عشرة على عشرة، الخدمة ممتازة ، الأكل تحفة، جودة عالية، الشيف نواف لطيف جداً و احترافية ممتازة.",ambiance,positive,1.0,0
692,"The place is great , clean , service excellent, the food is very delicious, excellent quality Chef Nawaf is doing his job perfectly المكان اكثر من رايع ، النضافة عشرة على عشرة، الخدمة ممتازة ، الاكل تحفة، جودة عالية، الشيف نواف لطيف جدا و احترافية ممتازة.","The place is great , clean , service excellent, the food is very delicious, excellent quality
Chef Nawaf is doing his job perfectly 👌🏼
المكان أكثر من رائع ، النضافة عشرة على عشرة، الخدمة ممتازة ، الأكل تحفة، جودة عالية، الشيف نواف لطيف جداً و احترافية ممتازة.",cleanliness,positive,1.0,0
692,"The place is great , clean , service excellent, the food is very delicious, excellent quality Chef Nawaf is doing his job perfectly المكان اكثر من رايع ، النضافة عشرة على عشرة، الخدمة ممتازة ، الاكل تحفة، جودة عالية، الشيف نواف لطيف جدا و احترافية ممتازة.","The place is great , clean , service excellent, the food is very delicious, excellent quality
Chef Nawaf is doing his job perfectly 👌🏼
المكان أكثر من رائع ، النضافة عشرة على عشرة، الخدمة ممتازة ، الأكل تحفة، جودة عالية، الشيف نواف لطيف جداً و احترافية ممتازة.",service,positive,1.0,0
692,"The place is great , clean , service excellent, the food is very delicious, excellent quality Chef Nawaf is doing his job perfectly المكان اكثر من رايع ، النضافة عشرة على عشرة، الخدمة ممتازة ، الاكل تحفة، جودة عالية، الشيف نواف لطيف جدا و احترافية ممتازة.","The place is great , clean , service excellent, the food is very delicious, excellent quality
Chef Nawaf is doing his job perfectly 👌🏼
المكان أكثر من رائع ، النضافة عشرة على عشرة، الخدمة ممتازة ، الأكل تحفة، جودة عالية، الشيف نواف لطيف جداً و احترافية ممتازة.",food,positive,1.0,0
2028,سى جدا جدا جدا والله والله والله مفيش مسوول موجود. مطعم فاشل فاشل,"سى جدا جدا جدا
والله والله والله
مفيش مسؤول موجود.
مطعم فاشل فاشل",service,negative,0.2,0
5360,الويتر الذي ياخذ الاوردور قمة في الغرور.,الويتر(الذي يأخذ الاوردور) قمة في الغرور.....,service,negative,0.6,0
5696,ان الدكتور خالد من الاطباء المتميزين الذين قمت بزيارتهم. يتميز عمله بالدقة العالية، ويلاحظ اهتمامه الفايق بمعايير التعقيم. ان كفاءته واخلاصه في العمل لا يضاهيهما شيء، والفرق في جودة الخدمة واضح تماما. لقد لفت انتباهي بشكل خاص اهتمامه بتقديم شرح مفصل وتوضيح للاجراءات التي يقوم بها قبل وبعد كل خطوة، بالاضافة الى تفسيره الوافي لكل التفاصيل. لم اجد من قبل طبيب يولي هذا القدر من الاهتمام ويخصص الوقت الكافي للمراجعين بهذه الطريقة الاحترافية علاوة على ذلك، تتميز العيادة بتصميمها الجمالي الذي يعكس ذوقا رفيعا، حيث تذكرنا كل تفصيلة فيها باللحظات الجميلة، بدءا من التصميم العام والثريات، وصولا للموسيقى الهادية والجميلة التي يحرص الدكتور خالد على تشغيلها دايما كما اتقدم بخالص الشكر والتقدير للدكتور خالد,"ان الدكتور خالد من الأطباء المتميزين الذين قمت بزيارتهم. يتميز عمله بالدقة العالية، ويلاحظ اهتمامه الفائق بمعايير التعقيم. إن كفاءته وإخلاصه في العمل لا يضاهيهما شيء، والفرق في جودة الخدمة واضح تماماً. لقد لفت انتباهي بشكل خاص اهتمامه بتقديم شرح مفصل وتوضيح للإجراءات التي يقوم بها قبل وبعد كل خطوة، بالإضافة إلى تفسيره الوافي لكل التفاصيل. لم أجد من قبل طبيب يولي هذا القدر من الاهتمام ويخصص الوقت الكافي للمراجعين بهذه الطريقة الاحترافية
علاوة على ذلك، تتميز العيادة بتصميمها الجمالي الذي يعكس ذوقا رفيعا، حيث تذكرنا كل تفصيلة فيها باللحظات الجميلة، بدءا من التصميم العام والثريات، وصولا للموسيقى الهادئة والجميلة التي يحرص الدكتور خالد على تشغيلها دائما

كما اتقدم بخالص الشكر والتقدير للدكتور خالد",service,positive,1.0,0
5696,ان الدكتور خالد من الاطباء المتميزين الذين قمت بزيارتهم. يتميز عمله بالدقة العالية، ويلاحظ اهتمامه الفايق بمعايير التعقيم. ان كفاءته واخلاصه في العمل لا يضاهيهما شيء، والفرق في جودة الخدمة واضح تماما. لقد لفت انتباهي بشكل خاص اهتمامه بتقديم شرح مفصل وتوضيح للاجراءات التي يقوم بها قبل وبعد كل خطوة، بالاضافة الى تفسيره الوافي لكل التفاصيل. لم اجد من قبل طبيب يولي هذا القدر من الاهتمام ويخصص الوقت الكافي للمراجعين بهذه الطريقة الاحترافية علاوة على ذلك، تتميز العيادة بتصميمها الجمالي الذي يعكس ذوقا رفيعا، حيث تذكرنا كل تفصيلة فيها باللحظات الجميلة، بدءا من التصميم العام والثريات، وصولا للموسيقى الهادية والجميلة التي يحرص الدكتور خالد على تشغيلها دايما كما اتقدم بخالص الشكر والتقدير للدكتور خالد,"ان الدكتور خالد من الأطباء المتميزين الذين قمت بزيارتهم. يتميز عمله بالدقة العالية، ويلاحظ اهتمامه الفائق بمعايير التعقيم. إن كفاءته وإخلاصه في العمل لا يضاهيهما شيء، والفرق في جودة الخدمة واضح تماماً. لقد لفت انتباهي بشكل خاص اهتمامه بتقديم شرح مفصل وتوضيح للإجراءات التي يقوم بها قبل وبعد كل خطوة، بالإضافة إلى تفسيره الوافي لكل التفاصيل. لم أجد من قبل طبيب يولي هذا القدر من الاهتمام ويخصص الوقت الكافي للمراجعين بهذه الطريقة الاحترافية
علاوة على ذلك، تتميز العيادة بتصميمها الجمالي الذي يعكس ذوقا رفيعا، حيث تذكرنا كل تفصيلة فيها باللحظات الجميلة، بدءا من التصميم العام والثريات، وصولا للموسيقى الهادئة والجميلة التي يحرص الدكتور خالد على تشغيلها دائما

كما اتقدم بخالص الشكر والتقدير للدكتور خالد",cleanliness,positive,1.0,0
5696,ان الدكتور خالد من الاطباء المتميزين الذين قمت بزيارتهم. يتميز عمله بالدقة العالية، ويلاحظ اهتمامه الفايق بمعايير التعقيم. ان كفاءته واخلاصه في العمل لا يضاهيهما شيء، والفرق في جودة الخدمة واضح تماما. لقد لفت انتباهي بشكل خاص اهتمامه بتقديم شرح مفصل وتوضيح للاجراءات التي يقوم بها قبل وبعد كل خطوة، بالاضافة الى تفسيره الوافي لكل التفاصيل. لم اجد من قبل طبيب يولي هذا القدر من الاهتمام ويخصص الوقت الكافي للمراجعين بهذه الطريقة الاحترافية علاوة على ذلك، تتميز العيادة بتصميمها الجمالي الذي يعكس ذوقا رفيعا، حيث تذكرنا كل تفصيلة فيها باللحظات الجميلة، بدءا من التصميم العام والثريات، وصولا للموسيقى الهادية والجميلة التي يحرص الدكتور خالد على تشغيلها دايما كما اتقدم بخالص الشكر والتقدير للدكتور خالد,"ان الدكتور خالد من الأطباء المتميزين الذين قمت بزيارتهم. يتميز عمله بالدقة العالية، ويلاحظ اهتمامه الفائق بمعايير التعقيم. إن كفاءته وإخلاصه في العمل لا يضاهيهما شيء، والفرق في جودة الخدمة واضح تماماً. لقد لفت انتباهي بشكل خاص اهتمامه بتقديم شرح مفصل وتوضيح للإجراءات التي يقوم بها قبل وبعد كل خطوة، بالإضافة إلى تفسيره الوافي لكل التفاصيل. لم أجد من قبل طبيب يولي هذا القدر من الاهتمام ويخصص الوقت الكافي للمراجعين بهذه الطريقة الاحترافية
علاوة على ذلك، تتميز العيادة بتصميمها الجمالي الذي يعكس ذوقا رفيعا، حيث تذكرنا كل تفصيلة فيها باللحظات الجميلة، بدءا من التصميم العام والثريات، وصولا للموسيقى الهادئة والجميلة التي يحرص الدكتور خالد على تشغيلها دائما

كما اتقدم بخالص الشكر والتقدير للدكتور خالد",ambiance,positive,1.0,0
8800,ان هذا البرنامج ممتاز جدا واشكر كل من ساهم باعداد هذا البرنامج الجميل,ان هذا البرنامج ممتاز جدا واشكر كل من ساهم بإعداد هذآ البرنامج الجميل,app_experience,positive,1.0,1
5323,خدمه ممتازه,خدمه ممتازه,service,positive,1.0,0
5580,,💙💙💙,general,positive,1.0,0
5984,لااسف ولايستاهل نجمه خدمات سييه ولايوجد دكتور اطفال ساعه 10ليل ابني تعبان حرارته 40ومافي دكتور ليش تكدبو ع الناس وكاتبين خدمات 24ساعه,لااسف ولايستاهل نجمه خدمات سيئه ولايوجد دكتور اطفال ساعه 10ليل ابني تعبان حرارته 40ومافي دكتور ليش تكدبو ع الناس وكاتبين خدمات 24ساعه,service,negative,0.2,0
9610,اخر تحديث اذا وضعت الوجهه يقوم التطبيق بتغيير وجهة الوصول بغير ماتم ضبطه من الاول انتبهو,اخر تحديث اذا وضعت الوجهه يقوم التطبيق بتغيير وجهة الوصول بغير ماتم ضبطه من الاول انتبهو,app_experience,negative,0.2,1
8914,التطبيق ما يشغل الاغاني القديمة,التطبيق ما يشغل الاغاني القديمة,app_experience,negative,0.2,1
